,count,missing_pct,mean,std,min,p25,median,p75,max
Total Living Area,195659.0,0.0,1171.4282041715433,632.4591633793087,0.0,873.0,1119.0,1498.0,11197.0
Year Built,175632.0,10.235665111239452,1968.8084062129908,32.18720090212962,1870.0,1950.0,1972.0,1990.0,2025.0
Rooms,175626.0,10.238731670917259,5.93329005955838,1.47443297761616,1.0,5.0,6.0,7.0,29.0
Air Conditioning,154559.0,21.005933792976556,0.7219249606946214,0.4480520178298376,0.0,0.0,1.0,1.0,1.0
Fire Place,177252.0,9.407693998231617,0.2785017940559204,0.44826295675862043,0.0,0.0,0.0,1.0,1.0
Attached Garage,155737.0,20.403865909567152,0.3164565902771981,0.4650948351810557,0.0,0.0,0.0,1.0,1.0
Detached Garage,155737.0,20.403865909567152,0.4514983594136268,0.4976436285496415,0.0,0.0,0.0,1.0,1.0
Pool,155737.0,20.403865909567152,0.029543396880638513,0.16932444796525856,0.0,0.0,0.0,0.0,1.0
Number Floors (Condo),21073.0,89.22973131826289,1.2531675603853272,0.5185598168609706,1.0,1.0,1.0,1.0,4.0
Assessed Land Area,195659.0,0.0,16786.88466669052,342005.59131296584,0.0,3205.0,4998.0,6332.0,86093435.0
Water Frontage Measurement,188381.0,3.7197368891796443,51.472661565338335,121.68585266232628,0.0,31.0,44.0,54.0,21595.2
Sewer Frontage Measurement,188159.0,3.8331995972584956,50.85010904256506,108.6868272187721,0.0,31.0,44.0,54.0,19139.5
Total Assessed Value,195659.0,0.0,534527.9893181504,2935527.7058602786,0.0,254000.0,348000.0,465000.0,651316000.0
Assessed Value 2,1572.0,99.19656136441462,2018979.1361323155,12550532.223155485,0.0,158750.0,323000.0,921750.0,396234000.0
Assessed Value 3,81.0,99.9586014443496,5401216.049382716,23232870.80476419,0.0,175000.0,633000.0,2836000.0,205071000.0
Assessed Value 4,9.0,99.9954001604833,27237736.111111112,49201377.40292934,0.0,399000.0,731000.0,10500000.0,117710000.0
Assessed Value 5,1.0,99.99948890672037,0.0,,0.0,0.0,0.0,0.0,0.0
Proposed Property Class 1,0.0,100.0,,,,,,,
Proposed Assessment Value 1,0.0,100.0,,,,,,,
Proposed Assessment Value 2,0.0,100.0,,,,,,,
Proposed Assessment Value 3,0.0,100.0,,,,,,,
Proposed Assessment Value 4,0.0,100.0,,,,,,,
Proposed Assessment Value 5,0.0,100.0,,,,,,,
Multiple Residences,177252.0,9.407693998231617,0.0034809198203687407,0.05889671117794481,0.0,0.0,0.0,0.0,1.0
Dwelling Units,194928.0,0.3736091874127947,1.3486005089058524,7.187504504115097,0.0,1.0,1.0,1.0,925.0
Centroid Lat,195656.0,0.0015332798389033984,49.87939388097692,0.04924820702016341,49.72140215,49.845924280000006,49.882441875,49.917710095000004,49.9914526
Centroid Lon,195656.0,0.0015332798389033984,-97.1450413459878,0.0747249375004826,-97.34243642,-97.18852051,-97.14692267,-97.0945474525,-96.9568607
Age,175632.0,10.235665111239452,56.191593787009204,32.18720090212962,0.0,35.0,53.0,75.0,155.0
Area_per_Room,195659.0,0.0,195.27047137259123,87.47214232344977,0.0,173.33333333333334,202.66666666666666,236.42857142857142,4131.0
Lot_to_Living_Ratio,195659.0,0.0,3.961868485535412,9.408349408059292,0.0,2.033061183684351,3.6041816870944485,5.046492577720832,1103.4859625668448
Land_per_Unit,195659.0,0.0,5589.155328694791,51318.47070210625,0.0,2499.0,4628.0,6000.0,18028343.0
Is_Condo,195659.0,0.0,0.10770268681737104,0.3100053374496081,0.0,0.0,0.0,0.0,1.0
Water Frontage Present,195659.0,0.0,0.9628026311082035,0.18924562790669536,0.0,1.0,1.0,1.0,1.0
Sewer Frontage Present,195659.0,0.0,0.961668004027415,0.1919969855514747,0.0,1.0,1.0,1.0,1.0
Days_Since_Assessment,195658.0,0.0005110932796344661,921.0,0.0,921.0,921.0,921.0,921.0,921.0
